Project Name,Client Name,Location,Capabilities,Markets,Thumbnail,URL
Boulder Parking Structures,City of Boulder,"Boulder, CO",Asset Management,,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/2016-11-21%2011.47.37.jpg?itok=eCSk8cbh,https://www.f-w.com/projects/10-year-work-plan-to-guide-investment-strategy
Sherman Family Practice,Springfield Clinic,"Sherman, IL","Architecture, Interior Design",Healthcare,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/Spfld_Clinic_Sherman_Ext_01%20crop.jpg?h=2444e82c&itok=x_1-lpuy,https://www.f-w.com/projects/1960s-era-family-practice-clinic-renovation
Carr Connector Pipeline,Magellan Midstream Partners,"Weld County, CO",Oil & Gas,"Energy & Utilities, Oil & Gas",https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/IMG_0185.jpg?h=71976bb4&itok=iC3pTvVL,https://www.f-w.com/projects/30-horizontal-directional-drills-on-the-carr-connector-pipeline
Snow Shed Tunnel Improvements,Fehr and Peers / CDOT Region 5,"Red Mountain Pass, CO",Surveying,,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/US%20550%20Snow%20Shed%202%20altered.jpg?h=5d32e2ae&itok=-saPNzJs,https://www.f-w.com/projects/3d-scanning-used-for-snow-shed-tunnel-improvements
"North Weld County Water District - East Larimer County Water District Water Transmission, Phase II",North Weld County Water District and East Larimer County Water District,"Fort Collins, CO","Engineering, Municipal",Municipal,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/May%202015%20044_0.jpg?h=a5eb5da0&itok=BOBsT1Hp,https://www.f-w.com/projects/42-in-diameter-waterline-design
Rockford Service Center Renovation,Health Care Service Corporation,"Rockford, IL","Architecture, Interior Design",Commercial,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/IMG_6997%20edit.jpg?h=71976bb4&itok=ZXuzkX12,https://www.f-w.com/projects/90s-era-office-building-renovated
Marcus Nanotechnology Building Phases 3-6,Georgia Institute of Technology,"Atlanta, GA",Commissioning (Cx),Higher Education,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/Marcus%20Nano.jpg?h=0da20745&itok=l8uMQ5qx,https://www.f-w.com/projects/a-global-hub-for-nanotechnology-research
Activity and Recreation Center,Normal Township,"Normal, IL","Architecture, Electrical, Interior Design, Landscape Architecture, Mechanical, Plumbing, Structural",Parks & Recreation,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/ARC%20Exterior%20with%20Sign%201_0.jpg?h=566f8611&itok=9iOoLAOA,https://www.f-w.com/projects/a-place-for-senior-activity
Echo Bluff State Park,State of Missouri,"Shannon County, MO","Architecture, Electrical, Interior Design, Land Development, Landscape Architecture, Mechanical, Plumbing, Structural, Surveying, Transportation, Wastewater, Stormwater Management",Parks & Recreation,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/28939569143_7c3aff22e3_o_0.jpg?h=fba0f307&itok=2DZfPbj8,https://www.f-w.com/projects/a-year-round-state-park-destination
Timberlake Estates Supportive Living,Abundant Faith Christian Center,"Springfield, IL","Architecture, Electrical, Landscape Architecture, Mechanical, Plumbing, Structural",Senior Life Care,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/IMG_3568.JPG?h=dcafdd9c&itok=457h-j0i,https://www.f-w.com/projects/abundant-faith-christian-center-builds-facility
Marshall Public Library Renovation,Marshall Public Library,"Marshall, IL","Architecture, Electrical, Interior Design, Mechanical, Plumbing",Library & Cultural,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/20190225_115401_edited.jpg?h=92229be0&itok=rjYUNk7n,https://www.f-w.com/projects/accessibility-and-updates-for-unused-space
Vista Charter School,,"Montrose, CO",Commissioning (Cx),K-12 Education,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/Vista%20Charter%20School%20Slideshow.jpg?h=c82f5852&itok=1wNIqhOP,https://www.f-w.com/projects/achieved-owners-intent-and-vision
Illinois CancerCare,Illinois CancerCare,"Peoria, IL","Architecture, Electrical, Interior Design, Land Development, Landscape Architecture, Mechanical, Plumbing, Structural",Healthcare,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/03%20D7K_1720%20HDR.jpg?h=4d92ec11&itok=MK5PG1rT,https://www.f-w.com/projects/addition-blends-with-original-building
Mitchell Memorial Library Addition,"Mississippi Bureau of Buildings, Grounds, and Real Property Management","Starkville, MS","Building Enclosure Commissioning (BECx), Commissioning (Cx)","Higher Education, Library & Cultural",,https://www.f-w.com/projects/addition-commissioned-for-presidential-library
